keywords ,_realyear ,year ,_series ,_title ,_ref_code ,_source ,id 
  ,1699,1690,"Band 25: Plantas de diferentets plazas de Espania, Italia, Flandes, los Indias ",52. Oran. ,SE/KrA/0414/0025/0058 ,"Handritade Kartverk, Band 25: Plantas de diferentets plazas de Espania, Italia, Flandes, los Indias, SE/KrA/0414/0025/0058 (1699) ",K0037957_00001 
  ,1699,1690,"Band 25: Plantas de diferentets plazas de Espania, Italia, Flandes, los Indias ","107. Planta De La Tierra De Romanano. [Romagnano, Italien] ",SE/KrA/0414/0025/0124 ,"Handritade Kartverk, Band 25: Plantas de diferentets plazas de Espania, Italia, Flandes, los Indias, SE/KrA/0414/0025/0124 (1699) ",K0038017_00001 
  ,1684,1680,Band 13: Delineationer och grundritningar fästningar och fort (Dahlberg) ,13. Plaan af Staden och festningen Calmare[...] ,SE/KrA/0414/0013/0012 ,"Handritade Kartverk, Band 13: Delineationer och grundritningar fästningar och fort (Dahlberg), SE/KrA/0414/0013/0012 (1684) ",K0024316_00001 
  ,1699,1690,"Band 25: Plantas de diferentets plazas de Espania, Italia, Flandes, los Indias ","64. Planta De Plombino. [Piombino, Italien] ",SE/KrA/0414/0025/0073 ,"Handritade Kartverk, Band 25: Plantas de diferentets plazas de Espania, Italia, Flandes, los Indias, SE/KrA/0414/0025/0073 (1699) ",K0037972_00001 
  ,1677,1670,Band 13: Delineationer och grundritningar fästningar och fort (Dahlberg) ,6. Delineation utaf fästningen Calmar[...] ,SE/KrA/0414/0013/0005 ,"Handritade Kartverk, Band 13: Delineationer och grundritningar fästningar och fort (Dahlberg), SE/KrA/0414/0013/0005 (1677) ",K0024309_00001 
  ,1699,1690,"Band 25: Plantas de diferentets plazas de Espania, Italia, Flandes, los Indias ","89. La Vilata Fortificada. [Villata, Italien] ",SE/KrA/0414/0025/0106 ,"Handritade Kartverk, Band 25: Plantas de diferentets plazas de Espania, Italia, Flandes, los Indias, SE/KrA/0414/0025/0106 (1699) ",K0038002_00001 
  ,1635,1630,Band 28: Topographica practica (Getkant) ,"7. Entwerffung der gegend am Weissen Berge, wie nemlich die Montawsche Spitz von den Schwedischen befestiget undt dan auch die Weissel wegen des geschlagenen Haupts S den Nagatt furvbergehet. Anno 1635 10 Octob:. [Montauer Spitz, Falkenau, Weissenberg] ",SE/KrA/0414/0028/0008 ,"Handritade Kartverk, Band 28: Topographica practica (Getkant), SE/KrA/0414/0028/0008 (1635) ",K0024430_00001 
  ,1694,1690,Band 13: Delineationer och grundritningar fästningar och fort (Dahlberg) ,164. Geometrisch Delineation af Carlsteen. ,SE/KrA/0414/0013/0097 ,"Handritade Kartverk, Band 13: Delineationer och grundritningar fästningar och fort (Dahlberg), SE/KrA/0414/0013/0097 (1694) ",K0024353_00001 
  ,1699,1690,"Band 25: Plantas de diferentets plazas de Espania, Italia, Flandes, los Indias ","50. Planta Del Castillo De Tartaouez. [Tartas, Frankrike] ",SE/KrA/0414/0025/0056 ,"Handritade Kartverk, Band 25: Plantas de diferentets plazas de Espania, Italia, Flandes, los Indias, SE/KrA/0414/0025/0056 (1699) ",K0037955_00001 
  ,1699,1690,"Band 25: Plantas de diferentets plazas de Espania, Italia, Flandes, los Indias ","115. Pechelingas. [Pechelingas (ej ident.), Belgien] ",SE/KrA/0414/0025/0132 ,"Handritade Kartverk, Band 25: Plantas de diferentets plazas de Espania, Italia, Flandes, los Indias, SE/KrA/0414/0025/0132 (1699) ",K0038024_00001 
